Year,Edad,fx
2006,25-29,0.12044
2006,30-34,0.088
2006,35-39,0.03707
2006,40-44,0.01069
2006,45-49,0.0011
2007,15-19,0.07045
2007,20-24,0.12365
2007,25-29,0.11834
2007,30-34,0.08729
2007,35-39,0.03707
2007,40-44,0.01051
2007,45-49,0.0011
2008,15-19,0.07288
2008,20-24,0.12295
2008,25-29,0.11656
2008,30-34,0.0866
2008,35-39,0.03697
2008,40-44,0.0104
2008,45-49,0.00109
2009,15-19,0.07555
2009,20-24,0.1222
2009,25-29,0.11473
2009,30-34,0.08581
2009,35-39,0.03688
2009,40-44,0.01044
2009,45-49,0.00105
2010,15-19,0.07843
2010,20-24,0.1215
2010,25-29,0.11282
2010,30-34,0.08521
2010,35-39,0.03695
2010,40-44,0.01075
2010,45-49,0.00098
2011,15-19,0.0768
2011,20-24,0.12005
2011,25-29,0.11187
2011,30-34,0.08453
2011,35-39,0.03771
2011,40-44,0.01041
2011,45-49,0.0008
2012,15-19,0.07474
2012,20-24,0.11809
2012,25-29,0.11092
2012,30-34,0.08426
2012,35-39,0.03885
2012,40-44,0.01012
2012,45-49,0.00069
2013,15-19,0.07243
2013,20-24,0.11583
2013,25-29,0.10987
2013,30-34,0.0844
2013,35-39,0.04012
2013,40-44,0.0098
2013,45-49,0.00062
2014,15-19,0.06981
2014,20-24,0.11389
2014,25-29,0.10895
2014,30-34,0.08498
2014,35-39,0.04133
2014,40-44,0.0094
2014,45-49,0.00057
2015,15-19,0.06651
2015,20-24,0.11224
2015,25-29,0.10839
2015,30-34,0.08554
2015,35-39,0.04212
2015,40-44,0.00876
2015,45-49,0.0005
